id,Danceability
17170,5
17171,6
17172,4
17173,4
17174,5
17175,6
17176,2
17177,3
17178,4
17179,3
17180,5
17181,5
17182,6
17183,5
17184,5
17185,5
17186,5
17187,2
17188,4
17189,3
17190,7
17191,6
17192,7
17193,8
17194,5
17195,7
17196,7
17197,6
17198,6
17199,5
17200,3
17201,3
17202,3
17203,3
17204,5
17205,4
17206,6
17207,2
17208,3
17209,4
17210,5
17211,4
17212,3
17213,6
17214,5
17215,5
17216,5
17217,6
17218,6
17219,5
17220,5
17221,1
17222,4
17223,4
17224,4
17225,3
17226,5
17227,4
17228,5
17229,3
17230,4
17231,4
17232,4
17233,4
17234,3
17235,5
17236,4
17237,3
17238,1
17239,5
17240,3
17241,3
17242,1
17243,4
17244,3
17245,5
17246,4
17247,5
17248,3
17249,4
17250,3
17251,4
17252,5
17253,4
17254,4
17255,6
17256,4
17257,5
17258,5
17259,4
17260,4
17261,4
17262,5
17263,7
17264,5
17265,7
17266,4
17267,4
17268,6
17269,5
17270,6
17271,6
17272,6
17273,6
17274,6
17275,5
17276,5
17277,4
17278,4
17279,3
17280,3
17281,5
17282,4
17283,7
17284,7
17285,6
17286,4
17287,2
17288,6
17289,6
17290,7
17291,4
17292,7
17293,4
17294,6
17295,5
17296,5
17297,4
17298,5
17299,5
17300,6
17301,5
17302,6
17303,2
17304,5
17305,3
17306,4
17307,4
17308,3
17309,7
17310,6
17311,6
17312,4
17313,4
17314,6
17315,6
17316,5
17317,8
17318,4
17319,4
17320,8
17321,4
17322,4
17323,4
17324,3
17325,4
17326,5
17327,4
17328,3
17329,4
17330,6
17331,4
17332,4
17333,5
17334,5
17335,5
17336,6
17337,6
17338,7
17339,5
17340,7
17341,6
17342,5
17343,4
17344,2
17345,3
17346,5
17347,4
17348,5
17349,4
17350,6
17351,4
17352,4
17353,6
17354,5
17355,5
17356,4
17357,5
17358,5
17359,7
17360,5
17361,6
17362,5
17363,5
17364,5
17365,6
17366,5
17367,7
17368,6
17369,6
17370,7
17371,6
17372,4
17373,4
17374,4
17375,5
17376,5
17377,2
17378,3
17379,6
17380,6
17381,6
17382,6
17383,6
17384,7
17385,4
17386,4
17387,6
17388,6
17389,5
17390,6
17391,5
17392,6
17393,5
17394,4
17395,5
17396,7
17397,4
17398,6
17399,4
17400,6
17401,5
17402,6
17403,6
17404,4
17405,6
17406,3
17407,4
17408,5
17409,4
17410,4
17411,6
17412,3
17413,7
17414,5
17415,5
17416,4
17417,5
17418,5
17419,6
17420,4
17421,6
17422,3
17423,1
17424,6
17425,5
17426,5
17427,5
17428,4
17429,5
17430,4
17431,6
17432,5
17433,3
17434,6
17435,5
17436,5
17437,4
17438,6
17439,4
17440,3
17441,5
17442,3
17443,4
17444,4
17445,3
17446,4
17447,4
17448,1
17449,5
17450,4
17451,5
17452,4
17453,6
17454,6
17455,3
17456,4
17457,4
17458,4
17459,7
17460,3
17461,4
17462,3
17463,3
17464,5
17465,3
17466,2
17467,4
17468,4
17469,5
17470,7
17471,6
17472,6
17473,4
17474,4
17475,4
17476,6
17477,5
17478,6
17479,3
17480,4
17481,4
17482,6
17483,4
17484,3
17485,6
17486,4
17487,3
17488,4
17489,3
17490,6
17491,5
17492,6
17493,5
17494,5
17495,2
17496,5
17497,7
17498,7
17499,4
17500,4
17501,4
17502,5
17503,4
17504,4
17505,3
17506,4
17507,3
17508,4
17509,6
17510,6
17511,5
17512,6
17513,6
17514,5
17515,6
17516,4
17517,4
17518,6
17519,5
17520,4
17521,6
17522,5
17523,4
17524,9
17525,6
17526,5
17527,5
17528,6
17529,4
17530,3
17531,4
17532,6
17533,2
17534,6
17535,6
17536,3
17537,7
17538,5
17539,6
17540,6
17541,6
17542,2
17543,6
17544,6
17545,6
17546,7
17547,5
17548,4
17549,4
17550,6
17551,7
17552,5
17553,3
17554,6
17555,5
17556,5
17557,4
17558,5
17559,8
17560,7
17561,7
17562,4
17563,4
17564,4
17565,6
17566,5
17567,3
17568,4
17569,3
17570,4
17571,6
17572,5
17573,4
17574,3
17575,5
17576,4
17577,4
17578,6
17579,6
17580,5
17581,6
17582,4
17583,5
17584,5
17585,4
17586,6
17587,4
17588,5
17589,4
17590,6
17591,7
17592,5
17593,3
17594,6
17595,5
17596,4
17597,4
17598,5
17599,6
17600,5
17601,6
17602,5
17603,4
17604,4
17605,2
17606,2
17607,5
17608,4
17609,4
17610,2
17611,5
17612,2
17613,5
17614,2
17615,4
17616,3
17617,4
17618,2
17619,4
17620,5
17621,4
17622,4
17623,4
17624,3
17625,4
17626,6
17627,4
17628,3
17629,5
17630,5
17631,2
17632,5
17633,3
17634,4
17635,3
17636,5
17637,2
17638,4
17639,4
17640,4
17641,3
17642,6
17643,5
17644,5
17645,1
17646,3
17647,3
17648,6
17649,4
17650,6
17651,3
17652,4
17653,5
17654,3
17655,3
17656,5
17657,1
17658,0
17659,0
17660,0
17661,0
17662,1
17663,0
17664,0
17665,0
17666,0
17667,5
17668,3
17669,4
17670,4
17671,2
17672,3
17673,3
17674,3
17675,2
17676,5
17677,4
17678,3
17679,3
17680,4
17681,6
17682,5
17683,4
17684,4
17685,4
17686,3
17687,3
17688,2
17689,2
17690,3
17691,5
17692,2
17693,2
17694,3
17695,5
17696,3
17697,3
17698,2
17699,1
17700,3
17701,5
17702,3
17703,5
17704,5
17705,6
17706,3
17707,4
17708,5
17709,4
17710,3
17711,3
17712,6
17713,4
17714,2
17715,3
17716,2
17717,0
17718,5
17719,2
17720,2
17721,2
17722,3
17723,3
17724,4
17725,1
17726,4
17727,2
17728,5
17729,4
17730,5
17731,3
17732,4
17733,3
17734,4
17735,6
17736,5
17737,3
17738,5
17739,3
17740,4
17741,2
17742,6
17743,6
17744,5
17745,5
17746,4
17747,4
17748,3
17749,2
17750,5
17751,5
17752,4
17753,4
17754,5
17755,4
17756,5
17757,4
17758,5
17759,2
17760,2
17761,4
17762,4
17763,4
17764,3
17765,6
17766,4
17767,5
17768,8
17769,5
17770,4
17771,6
17772,5
17773,7
17774,5
17775,4
17776,5
17777,5
17778,4
17779,6
17780,6
17781,4
17782,4
17783,6
17784,5
17785,2
17786,5
17787,3
17788,3
17789,5
17790,3
17791,5
17792,4
17793,4
17794,3
17795,7
17796,6
17797,7
17798,6
17799,6
17800,5
17801,3
17802,5
17803,4
17804,6
17805,5
17806,5
17807,4
17808,2
17809,7
17810,5
17811,4
17812,6
17813,6
17814,5
17815,4
17816,5
17817,4
17818,5
